repo,grade_Eth
https://github.com/mochajs/mocha,15
https://github.com/chzyer/readline,45
https://github.com/gulpjs/gulp,30
https://github.com/webpack/webpack,60
https://github.com/redux-saga/redux-saga,30
https://github.com/babel/babel,30
https://github.com/debug-js/debug,30
https://github.com/vuejs/vue,20
https://github.com/marak/colors.js,20
https://github.com/reactivex/rxjs,50
https://github.com/webreflection/flatted,25
https://github.com/level/levelup,45
https://github.com/rollup/rollup,25
https://github.com/go-task/slim-sprig,50
https://github.com/mikemcl/bignumber.js,65
https://github.com/electron/electron,25
https://github.com/xtuc/webassemblyjs,65
https://github.com/gregberge/svgr,30
https://github.com/emotion-js/emotion,60
https://github.com/wooorm/markdown-table,25
https://github.com/sigp/lighthouse,85
https://github.com/ethers-io/ethers.js,85
https://github.com/prysmaticlabs/prysm,85
https://github.com/pnpm/cmd-shim,10
https://github.com/coinbase/coinbase-wallet-sdk,70
https://github.com/sindresorhus/type-fest,20
https://github.com/swc-project/swc,60
https://github.com/bradfitz/iter,40
https://github.com/eslint/eslint,45
https://github.com/walletconnect/walletconnect-monorepo,85
https://github.com/nomicfoundation/hardhat,85
https://github.com/prettier/prettier,40
https://github.com/qix-/color-convert,30
https://github.com/mafintosh/pump,20
https://github.com/dcodeio/long.js,30
https://github.com/sheetjs/js-crc32,25
https://github.com/zloirock/core-js,30
https://github.com/jedisct1/go-minisign,50
https://github.com/heim-rs/darwin-libproc,30
https://github.com/cssnano/cssnano,15
https://github.com/facebook/react,25
https://github.com/typescript-eslint/typescript-eslint,30
https://github.com/immerjs/immer,20
https://github.com/lukeed/polka,65
https://github.com/salesforce/tough-cookie,10
https://github.com/pytest-dev/pytest,75
https://github.com/vyperlang/vyper,70
https://github.com/pion/webrtc,45
https://github.com/ajv-validator/ajv,75
https://github.com/motdotla/dotenv,10
https://github.com/postcss/postcss,25
https://github.com/wighawag/hardhat-deploy,70
https://github.com/mozilla/source-map,35
https://github.com/floating-ui/floating-ui,60
https://github.com/browserslist/browserslist,65
https://github.com/consensys/teku,85
https://github.com/mattn/go-isatty,5
https://github.com/node-fetch/node-fetch,25
https://github.com/clap-rs/clap,60
https://github.com/prettier-solidity/prettier-plugin-solidity,70
https://github.com/yarnpkg/yarn,50
https://github.com/epoberezkin/fast-deep-equal,30
https://github.com/fb55/entities,65
https://github.com/ljharb/qs,30
https://github.com/ethereum/remix-project,75
https://github.com/ethereum/solidity,85
https://github.com/ethereum/go-ethereum,95
https://github.com/rich-harris/magic-string,40
https://github.com/axios/axios,65
https://github.com/webdriverio/webdriverio,25
https://github.com/tokio-rs/tokio,75
https://github.com/colorjs/color-name,30
https://github.com/numpy/numpy,15
https://github.com/vweevers/module-error,25
https://github.com/brooooooklyn/snappy,30
https://github.com/vercel/swr,30
https://github.com/mysticatea/abort-controller,15
https://github.com/import-js/eslint-plugin-import,70
https://github.com/getsentry/sentry-javascript,30
https://github.com/humanwhocodes/object-schema,25
https://github.com/wevm/viem,65
https://github.com/streetsidesoftware/cspell,10
https://github.com/bluealloy/revm,60
https://github.com/chainsafe/lodestar,70
https://github.com/pandas-dev/pandas,60
https://github.com/boa-dev/boa,55
https://github.com/inikulin/parse5,30
https://github.com/openzeppelin/openzeppelin-contracts,85
https://github.com/nodeca/js-yaml,30
https://github.com/formatjs/formatjs,10
https://github.com/yahoo/serialize-javascript,45
https://github.com/tklauser/go-sysconf,25
https://github.com/kaelzhang/node-ignore,20
https://github.com/mmcloughlin/addchain,35
https://github.com/google/flatbuffers,65
https://github.com/vitest-dev/vitest,65
https://github.com/crate-crypto/go-ipa,60
https://github.com/protofire/solhint,72
https://github.com/safe-global/safe-smart-account,75
https://github.com/supranational/blst,75
https://github.com/eth-infinitism/account-abstraction,60
https://github.com/status-im/nimbus-eth2,70
https://github.com/biomejs/biome,40
https://github.com/fastify/fastify,60
https://github.com/servo/rust-smallvec,20
https://github.com/libp2p/go-libp2p,60
https://github.com/paradigmxyz/reth,60
https://github.com/alloy-rs/core,65
https://github.com/web3/web3.js,85
https://github.com/ipfs/js-ipfs,75
https://github.com/ethereum/web3.py,85
https://github.com/erigontech/erigon,65
https://github.com/grandinetech/grandine,65
https://github.com/quic-go/quic-go,40
https://github.com/ethereumjs/ethereumjs-monorepo,85
https://github.com/alexeyraspopov/picocolors,50
https://github.com/ethereum/solc-js,85
